sentence,label,category
earnings per pound ( cpi ) in september decreased by 3. 77 from 2. 89 in september.,negative,Augmented_Data
stockmann was established in 1862 in finland and it became the first foreign company to enter russia is retail trade market in 1989 .,neutral,Sentences_50Agree
"unit prices for straddle carriers vary between eur700 ,000 and eur900 ,000 , the company added .",neutral,Sentences_50Agree
"the total number of voting rights is 74,612,523 .",neutral,Sentences_50Agree
"the poorest index exists as given to national engineering company 2004, p. 5.",negative,Augmented_Data
"outotec oyj press release december 4 , 2009 10.30 am outotec establishes a new subsidiary in kolkata outotec has established a subsidiary in india in order to better serve its indian customers and to increase its business in the growing indian market .",positive,Sentences_50Agree
the measures result from decreased demand in technical design and product information .,negative,Sentences_50Agree
"finland is technopolis is planning to bring the first section of a technopark on stream in st. petersburg at the end of 2008 , kari mikkonen , vice president of technopolis , told reporters in helsinki .",neutral,Sentences_50Agree
net sales fell by 5 % from the previous accounting period .,negative,Sentences_50Agree
incap and lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in february in order to complete the transfer on 1 march 2011 .,positive,Sentences_50Agree
"operating profit before non-recurring items was eur 8.3 mn in the first nine months of 2008 , compared to eur 8.4 in the corresponding period in 2007 .",negative,Sentences_50Agree
"additionally, its market share shrank about 14. 92 in cent or 29 per cent a year earlier.",negative,Augmented_Data
"india is trade with russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,Sentences_50Agree
"the facility will have a lettable area of some 19,000 sq m. the plot for the plant , located in the ratasmaki business park , will be purchased from the city of forssa .",neutral,Sentences_50Agree
"in the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",neutral,Sentences_50Agree
"net sales of kyro is main business area , glaston technologies , a manufacturer of glass processing machines , decreased to eur 161.5 mn from eur 164.1 mn in january-september 2005 .",negative,Sentences_50Agree
the total value of the deliveries is some eur65m .,neutral,Sentences_50Agree
"national bank of + aland reports a income of eur 0. 2 mn in the second quarter or 2010, down from eur 0. 9 m in the corresponding data in 2009.",negative,Augmented_Data
your stock rose for a partial day after wednesday bringing another two - date rise of 2. 0 to 9. 0 %.,positive,Augmented_Data
"tallink silja attributes the significant drop with problems with the booking service that was taken down operation in october, the sale of trailer of ` sky wind ' and the route between trondheim and budapest, it has won service from through helsinki - warsaw route.",negative,Augmented_Data
"vaisala also said it projected gross income for eur 253. 9 million beyond 2014, compared with eur 252. 9 per sales in 2009.",positive,Augmented_Data
"exports accounted a 9. 4 % in net sales, representing une all time record by the city.",positive,Augmented_Data
"thus, the net sales declined to eur 1. 6 gb where a 9. 2 each.",negative,Augmented_Data
"they are responsible for their own operations , customer relationships , and the development of these .",neutral,Sentences_50Agree
"the series ' net sales dropped some eur 30. 32 per outside of 6. 3 million, according to new interim report, released today.",negative,Augmented_Data
the total number of companies managed by the bank rise by 40 % of eur 284mn by year end of february 2010.,negative,Augmented_Data
"in switzerland , teleste have been an established supplier of products for a long time and its primary customers include cable and fiber-to-the-home ( ftth ) operators .",neutral,Sentences_50Agree
"lt says that it will hire 20 specialists in radio maintenance, electronics design, even cad & d for its new offices in jyvaeskylae every year conclusion of 2009.",positive,Augmented_Data
"at 12. 12 pm, the nuclear class 25 station was 0. 05 c away of 2, 694. 90.",negative,Augmented_Data
"( adp news ) - may 27, 2011 - finnish industrial machinery company vaahto group ltd [unk] ( code : wat1s ) said reportedly concerning a client vaahto ltd even cut 15 jobs in helsinki.",negative,Augmented_Data
"at 6. 15 pm, one omx cd 25 was 0. 30 khz lower at 2, 463. 67 and its omx helsinki was down 49. 37 pct in 8, 114. 42 on volume of 256 mln units.",negative,Augmented_Data
"following the acquisitions , panostaja will establish a new business unit which will focus on heat treatment of metals .",neutral,Sentences_50Agree
"profit increase processing unit from eur 10. 35 mn, down up eur 14. 3 m in 2009.",negative,Augmented_Data
grapevine city board by september approved $ 35 millions in tax credit and grants covering each campaign.,positive,Augmented_Data
"vaahto pulp & paper , of finnish vaahto group , has been awarded an order to renovate finnish-swedish forest industry company stora enso is paperboard machine at the ingerois board mill in finland .",positive,Sentences_50Agree
"adpnews - jul 21, 2009 - finland - based equipment maker rautaruukki former ruukki hel : rtrks said today had slipped to estimated financial loss of eur 184 million usd 12. 06 m for the first half of 2009 from a potential profit exceeding eur 2",negative,Augmented_Data
"the objective is that trading in the shares will commence on may 2 , 2007 .",neutral,Sentences_50Agree
"financial statements include the consolidated financial statements of the group , the board of directors ' report , the auditors ' report and the corporate governance statement .",neutral,Sentences_50Agree
pohjola will act as the manager of the issue and the bond will be listed on nasdaq omx helsinki ltd. .,neutral,Sentences_50Agree
"both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,Sentences_50Agree
the beers differ slightly from mainstream beers .,neutral,Sentences_50Agree
"swedbank hypotek - is to issue a benchmark , fixed rate covered deal in euros , maturing january 2010 .",neutral,Sentences_50Agree
it also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,Sentences_50Agree
"the total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations .",neutral,Sentences_50Agree
net profit of finnish food industry company l + nnnen h ' im continuing operations increased approximately 58 % in 2008 to eur 349. 32 due to local 309. 6 profit in 2007.,positive,Augmented_Data
the value of this kind of order amounts usually between euro 2 and 3 million .,neutral,Sentences_50Agree
- counter your competitor is strengths and target their weaknesses .,neutral,Sentences_50Agree
27 january 2011 - swedish it solutions provider affecto corporation ( short : afe1v ) said today it has won its eur1. 000 m ( usd1. 6 m ) contract on public - owned lithuanian social enterprises group ( lithuania ).,positive,Augmented_Data
"by implementing the software the finnish army aims to unify and improve its operations in these application areas , qpr software stated .",positive,Sentences_50Agree
the situation of coated with printing paper will try to prove bad.,negative,Augmented_Data
"in addition, ge and peab have signed dual five - year rental arrangements in canada and have extended them existing loan deals in the russian market by another five year.",positive,Augmented_Data
the insurance division turned a eur120m profit .,neutral,Sentences_50Agree
"lassila & sons ' t annual profit excluding non - recurring shareholder imputed liability after the second time was 76. 3 m, down from eur13. 4 million a year ago.",negative,Augmented_Data
"amer , which bought salomon from adidas in october , said the job cuts are aimed at boosting competitiveness .",neutral,Sentences_50Agree
the extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (tmls)for their ore grades .,neutral,Sentences_50Agree
"sarantel , based in wellingborough , uk , designs high-performance antennas for portable wireless devices .",neutral,Sentences_50Agree
operating loss landed at eur39m including one-offs and at eur27m excluding one-offs .,neutral,Sentences_50Agree
otherwise the situation is under control .,neutral,Sentences_50Agree
"m-real corporation press release on 3 november at 10:35 am m-real corporation was the second best company in the materials sector including e.g. forest industry companies in the carbon disclosure leadership index cdli , nordic report 2009 .",positive,Sentences_50Agree
our educational services have met with a favourable impression among concerned parents as well as at schools.,positive,Augmented_Data
sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,Sentences_50Agree
"- inge larsen (cfo), 29,045 shares , representing 0.50 % of the share capital .",neutral,Sentences_50Agree
"cuts equivalent to the costs of about 35-45 employees are the target , the company said .",negative,Sentences_50Agree
russian film company talentum oyj ' s net loss decreased of 6. 5 mln europa ( $ 4. 0 mln ) for the first quarter of 2008 from 8. 3 mln euro ( $ 4. 7 billion ) on the same period of 2007.,negative,Augmented_Data
"a worm set to activate friday will corrupt documents using the most common file types , including '' .",neutral,Sentences_50Agree
"finnish iso, a major producer and systems developer for communication of industrial electronics reports net sales of eur 2. 5 ml in it first half of 2008, down from eur 111. 1 000 a year earlier.",negative,Augmented_Data
"the company will publish its financial statement for 2008 on february 25 , 2009 .",neutral,Sentences_50Agree
an audio webcast will be available live and archived on cerner is web site at .,neutral,Sentences_50Agree
his company has been allocated a standing order for a total on 17 hiab loader produced by innovative systems in the us.,positive,Augmented_Data
average income per share operated at eur 5. 15 versus euro 0. 32.,positive,Augmented_Data
"total ebit for the second half won eur13. 6 m us $ 17. 8 m, falling short of all 3. 1 m being won for those same period until 2009.",negative,Augmented_Data
"and various baltic countries, activities including acquisitions and reorganisation continued, however non - recurring items related to the crisis substantially lowered earnings.",negative,Augmented_Data
"industrial gains by investments amounted to 24, revenue from mt.",negative,Augmented_Data
jon risfelt is 49 years old holds a master of science in chemical engineering from the swedish royal institute of technology .,neutral,Sentences_50Agree
"june - feb 5, 2010 - finnish real property investor sponda oyj report : sda1v showed today that nokia slipped towards a gross loss of eur 81. 5 million usd 11. 8 m since 2009 from a profit of eur 84. 3 gb in 2008.",negative,Augmented_Data
"561,470 new shares under 2003 option rights plan packaging company huhtamaki oyj reported on monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",neutral,Sentences_50Agree
the physical store division ' share sales fell at 2. 6 % to profits 18. 2 m.,negative,Augmented_Data
managing director timo kohtam+ki of lemmink+inen infra nevertheless points out the continued need for infrastructure construction in the baltic markets .,neutral,Sentences_50Agree
"koduextra is operating a retail chain of 11 stores , controlled by finnish non-food center ky , rukax oy , and scan-tukka oy .",neutral,Sentences_50Agree
"the government started the sell-off last month , putting an 8 percent stake in teliasonera on the auction bloc .",neutral,Sentences_50Agree
"2006 stock worth 40 omxn40 billion, comprising the 40 most traded company stocks on the danish futures exchange, closed down 0. 87 % and 1, 182. 14 points on market.",negative,Augmented_Data
"in the czech republic , the smaller profiling unit at ostrava will be closed and the machinery will be gradually relocated to ruukki is bigger plants in hungary , poland and romania by the end of the first quarter of 2009 .",neutral,Sentences_50Agree
the company will issue an inaugural eurobond deal in the near future subject to market conditions .,neutral,Sentences_50Agree
"nokia ' s baltic assets over the first three days of 2006 totaled 106. 2 000 euros, representing their decrease of 29 percent years on year.",negative,Augmented_Data
"finnish suominen industrial packaging is producing 48 jobs in 26 enterprises in sweden and joint with nastola, east sweden.",negative,Augmented_Data
`` our customer has been satisfied with basware invoice automation solution and extends the implementation to new geographies .,positive,Sentences_50Agree
the company is also featured in the ethibel international investment register world rank in forbes ' 06 global category as among the century ' s most innovative corporations.,positive,Augmented_Data
in february 2015 caledonian also sold another st george facility ; according to the advice another possibility could have been supply problems because of the russian border service.,negative,Augmented_Data
"for this, the acquisition shows an improvement from services offered in a market as it is long held an established with significant supplier of products.",positive,Augmented_Data
technopolis has approximately 130 customer companies in jyvaskyla .,neutral,Sentences_50Agree
"raisio ' d choice to take glisten is a ` ` win - draw ' ' deal by us companies, former president of the uk capital firm told just - watch today 10 february.",positive,Augmented_Data
finlan is listed food industry company hkscan group controlled companies in the baltics improved revenues by eur 3.5 mn to eur 160.4 mn in 2010 from eur 156.9 mn in the year before .,positive,Sentences_50Agree
"the prosecutor as usually offered outokumpu get a penalty of eur 45, 000 at court.",negative,Augmented_Data
retirement costs for flight crews fell above 6. 4 overs.,positive,Augmented_Data
"`` it gives us a sense of pride and exposure , '' said bruce hansen , the svh sales representative for wolverine .",positive,Sentences_50Agree
"the address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral,Sentences_50Agree
in july it and quadriga capital sold their lewa gmbh pump-making business to japan is nikkiso co. .,neutral,Sentences_50Agree
the agreement expands tekla structures ' scope of use to bridge design .,positive,Sentences_50Agree
50 s u. s. funds scored 3. 25 percent lower at $ 12. 70 versus 1750 s.,negative,Augmented_Data
copyright afx news and afx financial news logo are registered trademarks of afx news limited,neutral,Sentences_50Agree
"operating fee totaled eur 23, 7 mn, up greatly from usd 44. 72 mn and the corresponding period into 2006.",positive,Augmented_Data
no company reported on an operating loss on eur0. 1 m on total sales of 50. 5 ms for the 2010 initial year.,negative,Augmented_Data
"of these shares 29,659,239 are held by the company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral,Sentences_50Agree
poyry is a global expert in consulting and engineering .,neutral,Sentences_50Agree
"finnish heat-retaining fireplaces maker tulikivi oyj said on august 29 , 2007 that its local tiled stoves and utility ceramics subsidiary kermansavi oy will merge into tulikivi by means of absorption in order to streamline the latest is corporate structure .",neutral,Sentences_50Agree
"a loss is eur 5. 2 mn, compared to a loss at some 3. 4 ha with one shipping company in 2008 - 10.",negative,Augmented_Data
"rockwell collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,Sentences_50Agree
"its customers include local companies slo oy , kiilto oy , toptronics oy , normark suomi oy , pellonpaja oy and mansner oy .",neutral,Sentences_50Agree
"by 14 : 02 am on friday, share in bavarian nordic holding climbed 3. 21 % to dkk250 on a stock exchange at copenhagen as having lost 7. 41 % within the past month.",positive,Augmented_Data
the new shares entitle their holders to dividends for fiscal 2006 .,neutral,Sentences_50Agree
"goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in aspo shares .",neutral,Sentences_50Agree
production is scheduled to start by the end of april 2007 .,neutral,Sentences_50Agree
nokia has enough users to do just as well .,neutral,Sentences_50Agree
"the company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .",neutral,Sentences_50Agree
"finnish construction group lemminkainen oyj hel : lem1s said today it has won a contract to provide technical services for the nevsky centre shopping mall to be opened in november in st petersburg , russia .",positive,Sentences_50Agree
"alexandria , va. , may 23 -- matti harkonen and pentti sipponen , both of espoo , finland , osmo suovaniemi of helsinki , finland , and tapani tiusanen of vantaa , finland , have developed a paper web press device .",neutral,Sentences_50Agree
24 january 2012 - finnish it consultancy trainers ' house are founded : it convened next friday and resolved to issue a green hybrid bond to domestic investors in a bid to develop its capital structure.,positive,Augmented_Data
lemcon signed an investment cooperation agreement with the kaluga regional administration last november .,positive,Sentences_50Agree
"metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,Sentences_50Agree
"elcoteq is electronics manufacturing services ( ems ) business segment serves customers globally in engineering , manufacturing and fulfillment services .",neutral,Sentences_50Agree
the german subsidiary will produce software development services for ixonos telecommunications business unit is client projects .,neutral,Sentences_50Agree
the ia ' ts target is structural cost development of au 15 in 2009.,positive,Augmented_Data
"the tekla structures 16 installation has been built according to microsoft is requirements for the windows 7 certification , the company added .",neutral,Sentences_50Agree
"ebitda of the time 2009 decreased to 40, as did with 2009 target size.",positive,Augmented_Data
"following the acquisitions , panostaja will establish a new business unit which will focus on heat treatment of metals .",neutral,Sentences_50Agree
"alexandria , va. , march 20 -- patrik flykt and timo alakoski , both of helsinki , finland , and tapio suihko and nadarajah asokan , both of espoo , finland , have developed a method of mobility support of internet-type protocol traffic in a communication system .",neutral,Sentences_50Agree
stockmann mastercard officially expanded this scope of this service to estonia and austria.,positive,Augmented_Data
"with the government exempting certain stainless steel products from anti-dumping duties , finland-based outokumpu today said it will look to enter into supply pacts with the indian railways soon .",neutral,Sentences_50Agree
the company will release its 2010 results on 11 february 2011 .,neutral,Sentences_50Agree
"finnish it service provider bt oyj said now that it has won high frame contract, valued at nearly eur2m, to work to third phase of its insurance application for south african mutual & federal insurance syndicate or m & f.",positive,Augmented_Data
"neste oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",neutral,Sentences_50Agree
"as of july 2 , 2007 , the market cap segments will be updated according to the average price in may 2007 .",neutral,Sentences_50Agree
"of bavelloni is and nst is joint ventures , bavelloni tools , completes semiproducts that are produced in italy into high-quality tools that will be sold under the diapol brand .",neutral,Sentences_50Agree
"okmetic has a global customer base and sales network , production plants in finland and the us and contract manufacturers in japan and china .",neutral,Sentences_50Agree
"other north-rhine westphalia - is to issue a benchmark , 5 year fixed rate deal in euros .",neutral,Sentences_50Agree
"contribution before taxes was added 5. 56 mn, once taking eur 55. 6 mn a year prior.",positive,Augmented_Data
"( adp news ) - january 31, 2005 - finnish food agency raisio ltd ( omx : raivv ) notes later that its net profit jumped to eur 15. 4 million ( usd 20. 9 m ) for those first nine months of 2008 by eur 1. 1 million for the same period 2",positive,Augmented_Data
"when this investment is in place , atria plans to expand into the moscow market .",neutral,Sentences_50Agree
"the platform is based built on intel s second-generation mid platform , called moorestown .",neutral,Sentences_50Agree
the mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,neutral,Sentences_50Agree
"the parties have also agreed that l+nnen tehtaat has the right to sell the remaining shares in suomen rehu to hankkija-maatalous 15 months after the purchase of the majority holding , at the earliest .",neutral,Sentences_50Agree
the order is related to renewing the network of the telecommunications operator .,neutral,Sentences_50Agree
"agricultural monthly de tulevaisuus had 31, 700 readers, representing real growth by 70 %.",negative,Augmented_Data
"the group , with net sales of eur 235 million in 2009 , employs more than 2 000 people in 33 countries .",neutral,Sentences_50Agree
"the group is consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",neutral,Sentences_50Agree
"aug. 18 - - police are looking after one man who we say terrorized 44 males below gunpoint into east maple branch this sunday, shooting two of them and kidnapping another.",negative,Augmented_Data
"chs expo freight is a major finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,Sentences_50Agree
"previously , the company had guided for ebit and sales growth of 20 pct and 10 pct respectively for this year .",positive,Sentences_50Agree
finnish plumbing and heating systems supplier uponor corporation ( omx helsinki : unr1v ) said on tuesday ( 12 august ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program .,positive,Sentences_50Agree
the extraordinary general meeting is expected to take place no later than 18 february 2011 .,neutral,Sentences_50Agree
"order intake, for the two hand, is reported to be ready from january 2007.",positive,Augmented_Data
"finnish logistics company finnlines, of the grimaldi clan, reports its net sales for around eur 241. 26 mn in january - june 2009 versus around 384. 0 mn in that extended period throughout 2008.",negative,Augmented_Data
"its profit has euro 24. 6 mn, up against eur 23. 0 bn.",positive,Augmented_Data
vnh generates annual net sales of about 5 mln eur and employs 21 people .,neutral,Sentences_50Agree
the office space will rise above the remodeled cannon street underground station .,neutral,Sentences_50Agree
"outotec oyj press release december 4 , 2009 10.30 am outotec establishes a new subsidiary in kolkata outotec has established a subsidiary in india in order to better serve its indian customers and to increase its business in the growing indian market .",positive,Sentences_50Agree
"funds would start being traded in the foundation ' s share although this does not quite enough, affarsvarlden said.",positive,Augmented_Data
20 october 2010 - finnish metal products company componenta oyj hel : cth1v said yesterday that its net loss narrowed to eur7m for the first nine months of 2010 from eur23 .3 m for the same period of 2009 .,positive,Sentences_50Agree
"payment for acquired shares will be made in cash , and the price per share will be eur 1 plus an administration fee .",neutral,Sentences_50Agree
"pretax 2015 totalled eur 80. 8 mn, compared to even little less eur 75. 0 mn on previous maximum period in euro.",positive,Augmented_Data
"yit lodged counter claims on neste after totaling some eur25m, primarily financed by work carried out under civil contract excluding additional costs incurred transferred to work in the operations.",negative,Augmented_Data
"profit for the period was eur 5.9 mn , up from eur 1.3 mn .",positive,Sentences_50Agree
they will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral,Sentences_50Agree
eb announced in store headquarters price information on november 18th through which j. t. bergqvist has resigned completely the chairmanship though remains under the board of eb.,negative,Augmented_Data
corporate profit was 1. 7 mn on 2005 similar to eur 5. 9 billion in 2002.,negative,Augmented_Data
"in 2009 , kone had annual net sales of eur 4.7 billion and approximately 34,000 employees .",neutral,Sentences_50Agree
"at q2 of 2009, reduction in taxes amounted to rm 70. 6 billions, down from eur 10. 8 mn average q2 july 2009.",negative,Augmented_Data
"the contract covers installation , training and start-up services .",neutral,Sentences_50Agree
"new chairman of the board of directors , mr chaim katzman , will give a presentation and answer questions .",neutral,Sentences_50Agree
operating profit improved above eur 700 by rm 2. 8 mn in the fourth budget june 2008.,positive,Augmented_Data
"26 october 2010 - finnish environmental management company lassila & tikanoja oyj ( hel : lat1v ) , or l&t , said today its net profit declined to eur20 .9 m for the first nine months of 2010 from eur27 .6 m for the same period a year earlier .",negative,Sentences_50Agree
"adpnews - feb 5 , 2010 - finnish real estate investor sponda oyj hel : sda1v said today that it slipped to a net loss of eur 81.5 million usd 11.8 m in 2009 from a profit of eur 29.3 million in 2008 .",negative,Sentences_50Agree
profit for the period was eur 15.6 mn compared to eur 14.1 mn in 2007 .,positive,Sentences_50Agree
"basware corporation stock exchange release august 31 , 2010 at 16:25 basware signed a large deal with an international industrial group basware will deliver invoice automation solution and connectivity services to an international industrial group .",positive,Sentences_50Agree
gross loss hit eur 0. 3 mn compared to a profit of rs 2. 2 m amongst the three years not operating.,negative,Augmented_Data
"and silicon wafer technology specialists okmetic oyj ( former helsinki : okm1v ) reported on thursday ( 7 february ) an operating growth between 55. 6 m for the period january - june 2008, up from eur3. 3 m from the corresponding period in january.",positive,Augmented_Data
three students from universiti sains malaysia have won a study trip to helsinki .,neutral,Sentences_50Agree
"however , the company saw its net profit for the third quarter down to eur1 .4 m from eur1 .5 m for the corresponding period of 2009 .",negative,Sentences_50Agree
"our limited company networks - esl telecom, leipurin, telko swedish kaukomarkkinat - aim to meet significant key partners of their region.",positive,Augmented_Data
"patrick jeambar will also continue being responsible for innovation and health , safety and environment hsea functions of ahlstrom corporation .",neutral,Sentences_50Agree
"( adp e ) - dec 29, 2008 - member construction and engineering society outotec oyj ( omx : k ) said the it signed a eur 28 million ( usd 4. 8 m ) order to construct the phosphate concentrator in siilinjarvi of the minera",positive,Augmented_Data
the total capacity of the factory will be approximately 100 engines a year .,neutral,Sentences_50Agree
"biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",negative,Sentences_50Agree
a remote operator i should function using a client from maingate and will be responsible for telecommunications connections.,positive,Augmented_Data
"26 october 2010 - global environmental engineering company larsen & tikanoja reporting hel : lat1v, or l & t, said monday it expects its operating profit, excluding non - aviation costs, for the whole company to be slightly larger than october 2009.",negative,Augmented_Data
"on 25 august 2009 , sampo is stake in nordea was 19.45 % .",neutral,Sentences_50Agree
